,Instance,n_N,n_B,k,wL,Lazy,A4,Gap,Runtime,NodeCount,ObjVal,Runtime_h,ObjVal_h
145,4,10,20,1,50,True,True,0.0,12.69768738746643,2107.0,932.2017016882833,,
146,4,10,20,1,100,False,True,5.0595583164676365e-05,15.08373212814331,112.0,1432.2737305634184,,
147,4,10,20,1,100,True,True,0.0,43.29606008529663,2605.0,1432.2016982043956,,
148,4,10,20,1,50,False,True,0.0,15.896108627319336,419.0,932.2018663711369,,
149,4,10,20,1,50,True,True,0.0,12.786200761795044,2107.0,932.2017016882833,,
150,4,10,20,1,100,False,True,5.0595583164676365e-05,14.93686556816101,112.0,1432.2737305634184,,
151,4,10,20,1,100,True,True,0.0,43.1210355758667,2605.0,1432.2016982043956,,
152,4,10,20,2,50,False,True,2.948828689639193e-08,44.46277618408203,1090.0,796.0990091899398,,
153,4,10,20,2,50,True,True,0.0,99.19556403160095,5164.0,796.0937932590382,,
154,4,10,20,2,100,False,True,7.685861619454144e-09,16.704094409942627,479.0,1296.098990777709,,
155,4,10,20,2,100,True,True,0.0,80.34341144561768,3315.0,1296.0937916705723,,
156,4,15,32,1,50,False,True,2.2868303866944766e-07,73.34694766998291,5358.0,1547.2478997837252,,
157,4,15,32,1,50,True,True,0.0,201.448317527771,13170.0,1547.1609146957176,,
158,4,15,32,1,100,False,True,4.063443310316112e-08,74.8843846321106,5001.0,2376.6006020274453,,
159,4,15,32,1,100,True,True,0.0,333.0377907752991,12455.0,2376.1930747043816,,
160,4,15,32,1,50,False,True,2.2868303866944766e-07,72.91434383392334,5358.0,1547.2478997837252,,
161,4,15,32,1,50,True,True,0.0,196.4304540157318,13170.0,1547.1609146957176,,
162,4,15,32,1,100,False,True,4.063443310316112e-08,74.14255118370056,5001.0,2376.6006020274453,,
163,4,15,32,1,100,True,True,0.0,337.42445492744446,12455.0,2376.1930747043816,,
164,4,15,32,3,50,False,True,1.930538512763836e-06,280.48194193840027,3540.0,1094.7121312571853,,
165,4,15,32,3,50,True,True,8.11078350168732e-05,592.1875638961792,24956.0,1094.7989799089955,,
166,4,15,32,3,100,False,True,4.8306098778478704e-05,132.77977228164673,4565.0,1844.7992184794118,,
167,4,15,32,3,100,True,True,0.0,424.4687147140503,25218.0,1844.710176750633,,
168,4,20,40,1,50,False,True,1.5924630628243556e-05,134.95205283164978,3366.0,2114.8386351567633,,
169,4,20,40,1,50,True,True,2.4195921820775093e-06,903.4324996471405,25769.0,2114.8049536950543,,
170,4,20,40,1,100,False,True,1.0193843920590996e-07,132.13873267173767,4779.0,3189.8052771355,,
171,4,20,40,1,100,True,True,6.407730793105937e-05,295.2076766490936,4943.0,3190.009340727886,,
172,4,20,40,2,50,False,True,6.209208296218454e-06,193.15483975410461,2512.0,1717.17666420069,,
173,4,20,40,2,50,True,True,5.3012526204514044e-05,1087.0345075130463,26875.0,1717.2193711837338,,
174,4,20,40,2,100,False,True,2.560624821316387e-05,347.30680298805237,5026.0,2742.236079444622,,
175,4,20,40,2,100,True,True,0.0,1724.1145551204681,27891.0,2742.1283396538774,,
176,4,20,40,5,50,False,True,1.884944404211056e-06,295.22347474098206,12162.0,1373.3311117393637,,
177,4,20,40,5,50,True,True,9.646461202081574e-05,1221.274514913559,40241.0,1373.323127869055,,
178,4,20,40,5,100,False,True,1.2867802806987326e-07,160.456218957901,5768.0,2373.3286736752707,,
179,4,20,40,5,100,True,True,0.0009248828190343971,3620.3988869190216,202049.0,2373.3231263609937,,
