,Instance,n_N,n_B,k,Single,wL,Lazy,A4,Init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
67,2,10,3,1,True,0,False,False,3.8486446933543916e-05,6.8137829303741455,878.0,465.3352460350785,,0.015665054321289062,0.014464855194091797,477.56664944120297,477.56664944120286
68,2,10,7,1,True,0,False,False,1.932167129239652e-05,13.562803983688354,1084.0,478.6927693297919,,,,,
69,2,10,7,1,True,0,False,False,1.4849445986114453e-05,9.35339617729187,435.0,478.68917293878155,,0.02638983726501465,0.030081987380981445,490.94013450633537,587.5302962734726
70,2,10,15,1,True,0,False,True,0.0,14.176490068435669,818.0,511.6933979028183,,,,,
71,2,10,15,1,True,0,False,True,6.53361265226353e-05,6.373234033584595,494.0,511.6935874226219,,0.044191837310791016,0.047219038009643555,523.9524823469417,689.0249550806584
72,2,10,1,1,True,50,False,False,8.229858886097164e-05,1.205927848815918,393.0,715.3422914503448,,,,,
73,2,10,1,1,True,50,False,False,5.236512017074061e-05,0.4711568355560303,1.0,715.3196513968269,,0.011059999465942383,0.007472038269042969,727.5666494412029,727.5666494412028
74,2,10,3,1,True,50,False,False,2.1811320473090097e-05,0.9886999130249023,1.0,715.324361914769,,,,,
75,2,10,3,1,True,50,False,False,1.2033906953906057e-06,2.486637830734253,1.0,715.3205451737863,,0.01479196548461914,0.014227867126464844,727.5666494412029,727.5666494412028
76,2,10,7,1,True,50,False,False,2.9372731284211828e-05,15.270411014556885,2087.0,803.6902034453285,,,,,
77,2,10,7,1,True,50,False,False,1.7718779905752967e-05,2.574570894241333,826.0,803.691086215611,,0.022868871688842773,0.02973484992980957,815.9401345063354,937.5302962734726
78,2,10,15,1,True,50,False,True,4.91909477271809e-05,6.019244909286499,442.0,1011.6935791887765,,,,,
79,2,10,15,1,True,50,False,True,8.502809556043993e-05,7.305965900421143,663.0,1011.6935845827785,,0.03587913513183594,0.04675102233886719,1023.9524823469417,1382.194742297559
80,2,10,1,2,True,0,False,False,1.7018491691405644e-05,3.996016025543213,467.0,247.00161745367,,,,,
81,2,10,1,2,True,0,False,False,8.628267426681725e-06,4.719660997390747,867.0,247.0022092427304,,0.05431699752807617,0.007320880889892578,258.96166720193537,258.96166720193537
82,2,10,3,2,True,0,False,False,6.804634730685411e-05,7.734007120132446,823.0,257.7149704318292,,,,,
83,2,10,3,2,True,0,False,False,6.804634730685411e-05,7.906487941741943,823.0,257.7149704318292,,0.07687187194824219,0.2779419422149658,269.7177181380661,713.2961804229262
84,2,10,7,2,True,0,False,False,3.4986384176714916e-05,14.465991973876953,884.0,271.07955194255464,,,,,
85,2,10,7,2,True,0,False,False,9.283053612149602e-05,13.473371028900146,6355.0,271.0809130170393,,0.2221689224243164,0.029870033264160156,283.2040280639464,379.7941898310836
86,2,10,15,2,True,0,False,True,0.0,20.06699299812317,2484.0,334.76305255106274,,,,,
87,2,10,15,2,True,0,False,True,0.0,20.250818967819214,2484.0,334.76305255106274,,0.07573103904724121,0.940742015838623,349.94197577193574,615.8154897176687
88,2,10,1,2,True,50,False,False,7.2671245015506545e-06,3.475250005722046,1403.0,497.00170500827176,,,,,
89,2,10,1,2,True,50,False,False,1.145127466360259e-05,2.546018123626709,887.0,497.0029370881325,,0.05003690719604492,0.0073549747467041016,508.96166720193537,508.96166720193537
90,2,10,3,2,True,50,False,False,3.2968182940411457e-05,6.861484050750732,474.0,507.70933013411207,,,,,
91,2,10,3,2,True,50,False,False,3.690647682935514e-05,4.920736074447632,855.0,507.71090441251783,,0.19530606269836426,0.014637231826782227,519.8305429988138,519.8305429988138
92,2,10,7,2,True,50,False,False,1.985823181122821e-05,15.25899600982666,9049.0,591.4202216388885,,,,,
93,2,10,7,2,True,50,False,False,1.7365927024376595e-05,14.544396162033081,863.0,591.4268815570629,,0.28949809074401855,0.028597116470336914,607.6220116502764,607.6220116502764
94,2,10,15,2,True,50,False,True,2.0240674749513177e-06,8.730204105377197,5201.0,836.4836501558084,,,,,
95,2,10,15,2,True,50,False,True,2.0240674749513177e-06,8.982303142547607,5201.0,836.4836501558084,,0.07747006416320801,1.1095030307769775,849.9419757719357,1016.7707881433967
96,2,20,3,1,True,0,False,False,9.784743510255952e-05,326.60915780067444,79471.0,663.4070917342341,,,,,
97,2,20,3,1,True,0,False,False,9.784743510255952e-05,322.2774360179901,79471.0,663.4070917342341,,0.08478116989135742,1.0359439849853516,680.0770258673783,1286.59838346191
98,2,20,6,1,True,0,False,False,8.567288648511679e-05,730.9536249637604,164494.0,675.1961819672708,,,,,
99,2,20,6,1,True,0,False,False,5.480156636522605e-05,1002.5735549926758,189888.0,675.1394050019765,,0.11994099617004395,66.60332202911377,692.0404249488927,761.5397815599297
100,2,20,16,1,True,0,False,False,0.013934189195215276,3600.2510850429535,407467.0,677.3950154104268,,,,,
101,2,20,16,1,True,0,False,False,0.01394868637544077,3600.218882083893,404553.0,677.3950154104268,,0.2535240650177002,415.4800589084625,694.2165918322404,678.9414282259474
