,index,n_N,perc_B,k,single,wL,lazy,A4,init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
126,126,20,100%,10%,True,50,False,True,False,0.005700774980471336,495.1571850776672,37715.0,1629.581545980687,,,,
127,127,20,100%,10%,True,50,False,True,True,0.07678182260523,3603.718682050705,2028514.0,3096.0825943794785,50.2354519367218,133.5463900566101,3118.9518043255907,3106.473652821647
128,128,20,10.0%,25%,True,0,False,False,False,0.002118858034074408,168.71713399887085,64765.0,222.4427973200718,,,,
129,129,20,10.0%,25%,True,0,False,False,True,4.005586054472704e-05,527.1076190471649,53116.0,631.9276073336528,4.5969319343566895,2.075556993484497,645.1930487268203,645.1930487268203
130,130,20,20.0%,25%,True,0,False,False,False,4.083536000531276e-05,596.0657880306244,162115.0,226.93841422148847,,,,
131,131,20,20.0%,25%,True,0,False,False,True,0.006880545540152172,2211.9739289283752,142268.0,763.1835246688347,52.91190505027771,24.24054288864136,785.9496670117628,785.9496670117628
132,132,20,50.0%,25%,True,0,False,False,False,0.00646033418054576,982.69721698761,201240.0,237.18180732537684,,,,
133,133,20,50.0%,25%,True,0,False,False,True,0.0013158965908761288,776.6446371078491,100015.0,1415.699377764217,4.49546217918396,48.28187108039856,1432.7064960421667,1441.7961302051303
134,134,20,100%,25%,True,0,False,True,False,0.00869207984134945,1934.62667798996,432610.0,405.2198158515459,,,,
135,135,20,100%,25%,True,0,False,True,True,0.00940441162797584,1153.2077450752258,19948.0,2284.078631479736,51.723140001297,118.26286005973816,2308.6000646712423,2311.5224328793247
136,136,20,10.0%,25%,True,50,False,False,False,0.0059313097686308335,112.0693929195404,33770.0,722.4420139406885,,,,
137,137,20,10.0%,25%,True,50,False,False,True,0.006945193009871087,1974.818401813507,287374.0,313.2860020096485,4.632823944091797,2.1362979412078857,328.164603064953,328.16460306495287
138,138,20,20.0%,25%,True,50,False,False,False,0.0015518813315632642,164.50967407226562,40280.0,742.8436052748466,,,,
139,139,20,20.0%,25%,True,50,False,False,True,0.0064883521901774,1135.0832810401917,12219.0,459.4098701076312,52.33486199378967,24.92355298995972,485.7161140201726,485.7161140201725
140,140,20,50.0%,25%,True,50,False,False,False,0.007452485151575055,824.3763890266418,191785.0,812.1945708945142,,,,
141,141,20,50.0%,25%,True,50,False,False,True,0.0007996885497071476,1158.5964770317078,222730.0,1098.7652416425658,4.644619941711426,2.2142369747161865,1110.769585501053,1110.7695855010527
142,142,20,100%,25%,True,50,False,True,False,0.009915219806973928,744.7987170219421,125533.0,1405.2198057568962,,,,
143,143,20,100%,25%,True,50,False,True,True,0.0092405975076574,697.4785850048065,8834.0,1965.7688027066129,49.498608112335205,110.21123886108398,1992.2489407981936,1992.4179633445724
144,144,20,10.0%,1,False,0,False,False,False,0.006425607928096913,85.98782396316528,4214.0,857.7912999266589,,,,
145,145,20,10.0%,1,False,0,False,False,True,44.52789921660109,3600.245834112168,2154.0,2165.0761321018394,13.452760934829712,1.7642440795898438,2116.273332941182,2469.6073948553144
146,146,20,20.0%,1,False,0,False,False,False,0.008397634930935942,225.37840700149536,54768.0,879.8658141615317,,,,
