,instance,n_N,perc_B,k,single,wL,lazy,A4,init
387,0,70,20.0%,1,True,0,False,False,True
388,0,70,50.0%,1,True,0,False,False,False
389,0,70,50.0%,1,True,0,False,False,True
390,0,70,100%,1,True,0,False,True,False
391,0,70,100%,1,True,0,False,True,True
392,0,70,10.0%,1,True,50,False,False,False
393,0,70,10.0%,1,True,50,False,False,True
394,0,70,20.0%,1,True,50,False,False,False
395,0,70,20.0%,1,True,50,False,False,True
396,0,70,50.0%,1,True,50,False,False,False
397,0,70,50.0%,1,True,50,False,False,True
398,0,70,100%,1,True,50,False,True,False
399,0,70,100%,1,True,50,False,True,True
400,0,70,10.0%,10%,True,0,False,False,False
401,0,70,10.0%,10%,True,0,False,False,True
402,0,70,20.0%,10%,True,0,False,False,False
403,0,70,20.0%,10%,True,0,False,False,True
404,0,70,50.0%,10%,True,0,False,False,False
405,0,70,50.0%,10%,True,0,False,False,True
406,0,70,100%,10%,True,0,False,True,False
407,0,70,100%,10%,True,0,False,True,True
408,0,70,10.0%,10%,True,50,False,False,False
409,0,70,10.0%,10%,True,50,False,False,True
410,0,70,20.0%,10%,True,50,False,False,False
411,0,70,20.0%,10%,True,50,False,False,True
412,0,70,50.0%,10%,True,50,False,False,False
413,0,70,50.0%,10%,True,50,False,False,True
414,0,70,100%,10%,True,50,False,True,False
415,0,70,100%,10%,True,50,False,True,True
416,0,70,10.0%,25%,True,0,False,False,False
417,0,70,10.0%,25%,True,0,False,False,True
418,0,70,20.0%,25%,True,0,False,False,False
419,0,70,20.0%,25%,True,0,False,False,True
420,0,70,50.0%,25%,True,0,False,False,False
421,0,70,50.0%,25%,True,0,False,False,True
422,0,70,100%,25%,True,0,False,True,False
423,0,70,100%,25%,True,0,False,True,True
424,0,70,10.0%,25%,True,50,False,False,False
425,0,70,10.0%,25%,True,50,False,False,True
426,0,70,20.0%,25%,True,50,False,False,False
427,0,70,20.0%,25%,True,50,False,False,True
428,0,70,50.0%,25%,True,50,False,False,False
429,0,70,50.0%,25%,True,50,False,False,True
430,0,70,100%,25%,True,50,False,True,False
431,0,70,100%,25%,True,50,False,True,True
432,0,70,10.0%,1,False,0,False,False,False
433,0,70,10.0%,1,False,0,False,False,True
434,0,70,20.0%,1,False,0,False,False,False
435,0,70,20.0%,1,False,0,False,False,True
436,0,70,50.0%,1,False,0,False,False,False
437,0,70,50.0%,1,False,0,False,False,True
438,0,70,100%,1,False,0,False,True,False
439,0,70,100%,1,False,0,False,True,True
440,0,70,10.0%,1,False,50,False,False,False
441,0,70,10.0%,1,False,50,False,False,True
442,0,70,20.0%,1,False,50,False,False,False
443,0,70,20.0%,1,False,50,False,False,True
444,0,70,50.0%,1,False,50,False,False,False
445,0,70,50.0%,1,False,50,False,False,True
446,0,70,100%,1,False,50,False,True,False
447,0,70,100%,1,False,50,False,True,True
448,0,70,10.0%,10%,False,0,False,False,False
449,0,70,10.0%,10%,False,0,False,False,True
450,0,70,20.0%,10%,False,0,False,False,False
451,0,70,20.0%,10%,False,0,False,False,True
